chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
III	7678332	8726908	7678332	8726908	5	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	9779580	10828156	9779580	10828156	5	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	10039676	11088252	10039676	11088252	5	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	5056892	6105468	5056892	6105468	5	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	5316988	6365564	5316988	6365564	5	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
IV	9273250	10321826	9273250	10321826	5	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	9797538	10846114	9797538	10846114	5	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	10188706	11237282	10188706	11237282	5	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	12289954	13338530	12289954	13338530	5	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	12814242	13862818	12814242	13862818	5	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	13205410	14253986	13205410	14253986	5	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	3239842	4288418	3239842	4288418	5	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	3764130	4812706	3764130	4812706	5	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	4155298	5203874	4155298	5203874	5	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	223138	1271714	223138	1271714	5	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	747426	1796002	747426	1796002	5	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	1138594	2187170	1138594	2187170	5	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
V	14529418	15577994	14529418	15577994	5	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15053706	16102282	15053706	16102282	5	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15577994	16626570	15577994	16626570	5	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15969162	17017738	15969162	17017738	5	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	10988426	12037002	10988426	12037002	5	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	11512714	12561290	11512714	12561290	5	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	12037002	13085578	12037002	13085578	5	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	12428170	13476746	12428170	13476746	5	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	3906442	4955018	3906442	4955018	5	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	4430730	5479306	4430730	5479306	5	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	4955018	6003594	4955018	6003594	5	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	5346186	6394762	5346186	6394762	5	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	365450	1414026	365450	1414026	5	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	889738	1938314	889738	1938314	5	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1414026	2462602	1414026	2462602	5	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1805194	2853770	1805194	2853770	5	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
X	335695	1384271	335695	1384271	5	train	X_block_1	334671	2300751	six_chromosome_blocks_v1
X	859983	1908559	859983	1908559	5	train	X_block_1	334671	2300751	six_chromosome_blocks_v1
X	1251151	2299727	1251151	2299727	5	train	X_block_1	334671	2300751	six_chromosome_blocks_v1
X	15419215	16467791	15419215	16467791	5	train	X_block_6	15418191	17384271	six_chromosome_blocks_v1
X	15943503	16992079	15943503	16992079	5	train	X_block_6	15418191	17384271	six_chromosome_blocks_v1
X	16334671	17383247	16334671	17383247	5	train	X_block_6	15418191	17384271	six_chromosome_blocks_v1
X	6369103	7417679	6369103	7417679	5	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	6893391	7941967	6893391	7941967	5	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	7284559	8333135	7284559	8333135	5	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	3352399	4400975	3352399	4400975	5	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	3876687	4925263	3876687	4925263	5	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	4267855	5316431	4267855	5316431	5	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
